GRID_ID,Mean_Biomass,SD_Biomass,Mean_SWF,Mean_SHDI,SD_SHDI,Mean_Elev,Mean_Slope,Mean_Aspect,Mean_Temp,Mean_Rs,Mean_P,Mean_Soil_pote,SD_Rs,SD_P,SD_Temp,SD_Soil_pote,SD_Elev,SD_Aspect,SD_Slope,Mean_Bulk_Dens,SD_Bulk_Dens,Mean_Ca_Exg,SD_Ca_Exg,Mean_Clay,SD_Clay,Mean_Sand,SD_Sand,Mean_Silt,SD_Silt
AA-14,461.27,38.22,1.87,1.26,0.96,384.92,34.33,263.74,0,0,0,0,1.47,0.15,0.23,0,65.61,96.21,19.28,0,0,0,0,0,0,0,0,0,0
AA-15,472.72,159.47,1.77,1.39,1.23,429.39,16.62,205.62,0,0,0,48.16,0.64,0.37,0.04,1.02,26,97.2,12.48,1.0751,0.6259,16.131,15.815,26.233,26.414,22.519,19.94,39.653,30.893
AA-16,517.24,177.19,0.83,1.24,1.09,389.79,24.99,186.02,16.71,239.62,4.36,48.32,1.37,0.16,0.1,2.41,32.17,107.22,19.53,1.0874,0.6189,16.4,16.322,24.966,26.025,22.414,19.96,40.814,31.613
AA-19,635.41,56.55,0.13,0.92,0.43,305.07,31.29,179.93,0,0,0,0,0.74,0.27,0.44,0,45.86,103.79,20.42,1.0687,0.6135,15.403,14.858,26.321,28.836,21.456,20.725,41.79,33.295
AA-20,538.58,236.06,1.23,0.93,0.72,283.55,31.65,198.79,20.08,269.97,1.3,46.42,1.56,0.04,0.11,2.32,49.33,101.82,23.29,1.0766,0.6148,14.309,13.97,26.256,28.706,20.709,19.928,42.227,33.707
AA-21,562.36,220.58,4.68,1.53,1.43,249.09,30.41,153.41,19.71,273.13,1.49,47.29,1.76,0.1,0.38,1.68,62.11,94.26,24.37,0,0,0,0,0,0,0,0,0,0
AB-10,490.42,120.45,5.27,1.34,1.18,462.66,25.54,148.25,0,0,0,45.27,0.43,0.02,0.24,1.56,63.11,78.48,15.26,1.1052,0.6417,18.049,18.191,26.652,26.604,20.829,17.97,40.099,30.829
AB-11,606.38,25.83,4.66,1.14,0.98,454.52,38.69,175.33,0,0,0,0,1.12,0.1,0.2,0,65.86,133.84,22.05,0,0,0,0,0,0,0,0,0,0
AB-12,568.76,52.32,5.3,1.27,1.18,507.98,20.66,186.53,0,0,0,0,2.19,0.2,0.2,0,31.71,96.49,13.62,0,0,0,0,0,0,0,0,0,0
AB-14,613.85,23.3,3.02,1.04,0.79,462.13,30.67,223.3,0,0,0,0,2.87,0.06,0.18,0,65.19,125.9,17.83,0,0,0,0,0,0,0,0,0,0
AB-15,541.27,145.83,1.35,1.34,1.18,493.34,19.37,178.21,0,0,0,48.58,1.59,0.37,0.13,1.1,34.11,82.56,12.55,1.1062,0.635,16.601,16.012,27.249,27.056,22.079,19.789,39.371,31.164
AB-16,488.02,158.62,2.24,1.36,1.21,405.06,19.52,154.64,0,0,0,48.49,0.45,0.22,0.21,2.39,25.91,104.17,14.54,1.0919,0.6253,16.649,16.948,26.644,26.506,22.048,19.803,39.456,30.998
AB-17,493.5,164.66,1.71,1.26,1.09,410.73,12.07,163.39,0,0,0,48.64,1.24,0.18,0.22,1.1,16.91,104.14,8.92,1.0913,0.6196,16.716,16.778,26.39,26.707,22.322,19.964,39.381,30.944
AB-18,621.45,29.45,0.18,1.01,0.69,349.85,33.81,179.98,0,0,0,0,0.73,0.05,0.11,0,54.53,96.69,27.67,1.0814,0.6184,15.423,15.144,26.555,28.715,23.15,21.085,39.515,32.092
